Pair,Strategy,Exit_Model,Trades,WinRate%,Exp(R),PF,NetPips,MaxDD%,AvgDurationBars
GBPUSD,TF_PB,A_Fixed_0.75R,749,52.87,-0.306,0.57,-2133.19,90.36,3.6
GBPUSD,TF_PB,B_Fixed_1.00R,731,46.65,-0.304,0.63,-2021.51,90.02,4.3
GBPUSD,TF_PB,C_Fixed_1.25R,721,41.89,-0.299,0.68,-1891.31,89.27,4.9
GBPUSD,TF_PB,D_Fixed_1.50R,712,37.78,-0.304,0.69,-1944.44,89.5,5.7
GBPUSD,TF_PB,E_Fixed_2.00R,695,33.24,-0.276,0.76,-1526.05,87.32,6.9
GBPUSD,TF_PB,F_Partial_1R_Trail,729,47.46,-0.327,0.59,-2230.68,91.3,5.5
GBPUSD,TF_PB,G_ATR_Trailing_1.5x,791,22.63,-0.447,0.31,-3593.97,97.21,3.3
GBPUSD,TF_PB,H_Structural_Trailing,685,25.69,-0.347,0.69,-2083.64,91.61,7.7
GBPUSD,TF_PB,I_Time_Exit_16_Bars,687,29.55,-0.317,0.72,-1818.8,89.73,7.0
GBPUSD,TF_PB,J_BreakEven_At_0.75R,743,9.02,-0.474,0.37,-3381.06,97.21,4.8
GBPUSD,VE_BO,A_Fixed_0.75R,857,52.16,-0.319,0.52,-2589.87,94.05,2.9
GBPUSD,VE_BO,B_Fixed_1.00R,811,45.38,-0.331,0.56,-2597.59,93.67,3.7
GBPUSD,VE_BO,C_Fixed_1.25R,788,39.97,-0.346,0.58,-2625.98,94.02,4.2
GBPUSD,VE_BO,D_Fixed_1.50R,757,35.54,-0.364,0.6,-2539.2,94.29,4.8
GBPUSD,VE_BO,E_Fixed_2.00R,720,30.83,-0.334,0.66,-2178.58,92.08,5.9
GBPUSD,VE_BO,F_Partial_1R_Trail,778,46.4,-0.392,0.46,-2987.64,95.51,4.4
GBPUSD,VE_BO,G_ATR_Trailing_1.5x,785,21.15,-0.553,0.25,-4268.48,98.75,3.5
GBPUSD,VE_BO,H_Structural_Trailing,698,24.93,-0.388,0.62,-2516.94,94.39,6.8
GBPUSD,VE_BO,I_Time_Exit_16_Bars,699,27.18,-0.381,0.62,-2440.06,94.11,6.3
GBPUSD,VE_BO,J_BreakEven_At_0.75R,818,4.4,-0.589,0.17,-4749.88,99.25,3.5
GBPUSD,MR_RG,A_Fixed_0.75R,119,49.58,-0.545,0.3,-400.12,48.73,2.7
GBPUSD,MR_RG,B_Fixed_1.00R,118,44.92,-0.521,0.37,-391.43,48.03,3.2
GBPUSD,MR_RG,C_Fixed_1.25R,118,38.98,-0.553,0.4,-410.94,50.83,3.6
GBPUSD,MR_RG,D_Fixed_1.50R,118,34.75,-0.569,0.42,-420.01,49.93,4.0
GBPUSD,MR_RG,E_Fixed_2.00R,118,33.05,-0.45,0.56,-325.06,44.78,4.5
GBPUSD,MR_RG,F_Partial_1R_Trail,118,46.61,-0.52,0.33,-400.52,48.73,3.6
GBPUSD,MR_RG,G_ATR_Trailing_1.5x,119,15.13,-0.749,0.16,-570.42,59.43,3.4
GBPUSD,MR_RG,H_Structural_Trailing,124,14.52,-0.572,0.42,-376.57,52.88,3.5
GBPUSD,MR_RG,I_Time_Exit_16_Bars,118,26.27,-0.558,0.53,-382.15,50.32,5.2
GBPUSD,MR_RG,J_BreakEven_At_0.75R,119,8.4,-0.689,0.18,-522.22,57.36,3.1
GBPUSD,LDN_MO,A_Fixed_0.75R,947,52.48,-0.236,0.58,-3524.27,89.69,6.9
GBPUSD,LDN_MO,B_Fixed_1.00R,927,46.39,-0.231,0.63,-3441.87,88.86,8.2
