Pair,Strategy,Factor,Condition,Trades,WinRate%,Exp(R),PF,95%_CI_Lower,95%_CI_Upper,P(Exp>0)%,Stability_2023_2025%,MaxDD%
USDJPY,VE_BO,volatility_transition,LOW_TO_LOW_VOL,57,35.09,-0.094,0.93,-0.489,0.302,33.1,66.7,16.44
USDJPY,TF_PB,volatility_transition,HIGH_TO_HIGH_VOL,57,33.33,-0.095,1.04,-0.446,0.27,30.1,66.7,11.94
GBPUSD,TF_PB,trend_transition,WEAK_TO_STRONG_TREND,144,39.58,-0.109,0.9,-0.339,0.133,18.1,0.0,21.94
USDJPY,VE_BO,asian_range_category,EXPANDED (>45p),180,33.33,-0.114,0.91,-0.328,0.102,14.6,66.7,22.92
USDJPY,VE_BO,volatility_transition,COMPRESSION_TO_EXPANSION,174,34.48,-0.114,0.99,-0.332,0.11,16.4,33.3,29.53
USDJPY,MS_BOS,trend_transition,RANGE_TO_TREND,143,37.06,-0.114,0.87,-0.34,0.109,16.1,0.0,17.76
USDJPY,LDN_MO,trend_transition,STEADY_TREND,410,39.02,-0.114,0.91,-0.234,0.002,2.7,33.3,51.75
USDJPY,LDN_MO,volatility_transition,LOW_TO_LOW_VOL,263,38.78,-0.116,0.91,-0.261,0.029,6.0,33.3,37.62
USDJPY,VE_BO,trend_transition,STEADY_TREND,239,33.89,-0.116,0.87,-0.304,0.069,11.4,33.3,26.59
USDJPY,TF_PB,asian_range_category,TIGHT (<25p),55,41.82,-0.118,0.96,-0.511,0.267,27.4,50.0,15.89
USDJPY,LDN_MO,volatility_transition,STEADY_VOL,205,39.51,-0.118,0.83,-0.278,0.046,8.2,33.3,24.61
GBPUSD,LDN_MO,pre_session_bias,BULLISH_DRIFT,204,38.24,-0.119,0.76,-0.298,0.072,10.7,66.7,30.68
EURUSD,MS_BOS,asian_range_category,EXPANDED (>45p),118,36.44,-0.124,0.77,-0.353,0.104,15.5,66.7,22.44
USDJPY,MS_BOS,pre_session_bias,BULLISH_DRIFT,831,36.7,-0.125,0.87,-0.213,-0.033,0.4,0.0,70.84
USDJPY,LDN_MO,pre_session_bias,BEARISH_DRIFT,191,36.13,-0.126,0.89,-0.304,0.056,8.0,33.3,29.09
EURUSD,MS_BOS,volatility_transition,HIGH_TO_HIGH_VOL,123,37.4,-0.131,0.63,-0.323,0.065,9.0,0.0,21.34
USDJPY,TF_PB,volatility_transition,LOW_TO_LOW_VOL,264,37.12,-0.133,0.89,-0.307,0.04,7.2,0.0,38.15
USDJPY,MR_RG,trend_transition,TREND_TO_RANGE,34,38.24,-0.144,0.67,-0.624,0.349,27.6,33.3,9.41
USDJPY,LDN_MO,trend_transition,RANGE_TO_TREND,32,40.62,-0.146,0.76,-0.552,0.304,24.4,33.3,8.25
USDJPY,VE_BO,pre_session_bias,BEARISH_DRIFT,132,32.58,-0.147,0.8,-0.396,0.095,12.3,0.0,22.31
EURUSD,MS_BOS,asian_range_category,NORMAL (25-45p),604,36.42,-0.15,0.84,-0.257,-0.042,0.4,0.0,64.94
USDJPY,TF_PB,pre_session_bias,BULLISH_DRIFT,108,34.26,-0.152,0.98,-0.412,0.117,12.9,33.3,23.34
USDJPY,MS_BOS,trend_transition,WEAK_TO_STRONG_TREND,346,35.26,-0.153,0.87,-0.296,-0.009,1.8,0.0,45.9
GBPUSD,VE_BO,volatility_transition,COMPRESSION_TO_EXPANSION,430,35.81,-0.158,0.88,-0.301,-0.013,1.8,33.3,63.9
GBPUSD,MS_BOS,pre_session_bias,BEARISH_DRIFT,761,37.06,-0.165,0.78,-0.257,-0.072,0.1,0.0,73.93
EURUSD,LDN_MO,asian_range_category,NORMAL (25-45p),205,34.63,-0.167,0.76,-0.325,0.003,2.7,0.0,30.59
EURUSD,LDN_MO,volatility_transition,STEADY_VOL,131,35.11,-0.169,0.71,-0.393,0.056,6.4,33.3,25.21
USDJPY,MS_BOS,asian_range_category,TIGHT (<25p),164,38.41,-0.17,0.9,-0.377,0.042,5.8,0.0,38.87
USDJPY,MS_BOS,asian_range_category,EXPANDED (>45p),1103,34.18,-0.173,0.79,-0.251,-0.094,0.0,0.0,86.69
USDJPY,TF_PB,asian_range_category,EXPANDED (>45p),409,33.01,-0.173,0.83,-0.299,-0.038,0.6,0.0,57.72
GBPUSD,MS_BOS,pre_session_bias,BULLISH_DRIFT,778,37.28,-0.173,0.75,-0.267,-0.078,0.0,0.0,80.38
USDJPY,MS_BOS,pre_session_bias,BEARISH_DRIFT,635,33.07,-0.177,0.79,-0.276,-0.072,0.0,0.0,70.66
EURUSD,LDN_MO,trend_transition,STEADY_TREND,622,35.05,-0.181,0.78,-0.285,-0.078,0.0,0.0,70.01
EURUSD,MS_BOS,trend_transition,WEAK_TO_STRONG_TREND,388,36.6,-0.181,0.76,-0.315,-0.047,0.4,0.0,55.85
EURUSD,LDN_MO,asian_range_category,TIGHT (<25p),626,34.35,-0.192,0.78,-0.301,-0.085,0.0,0.0,72.23
EURUSD,VE_BO,volatility_transition,COMPRESSION_TO_EXPANSION,434,33.18,-0.192,0.75,-0.326,-0.05,0.3,0.0,58.64
USDJPY,LDN_MO,trend_transition,TREND_TO_RANGE,37,35.14,-0.196,0.71,-0.54,0.179,14.4,33.3,11.39
EURUSD,MS_BOS,trend_transition,RANGE_TO_TREND,104,35.58,-0.201,0.85,-0.459,0.074,7.4,33.3,20.19
GBPUSD,MR_RG,pre_session_bias,FLAT,61,49.18,-0.201,0.86,-0.577,0.174,14.7,0.0,15.73
EURUSD,LDN_MO,trend_transition,WEAK_TO_STRONG_TREND,131,31.3,-0.205,0.66,-0.421,0.023,3.7,33.3,28.17
USDJPY,MS_BOS,volatility_transition,STEADY_VOL,792,33.33,-0.205,0.71,-0.297,-0.113,0.0,0.0,82.05
GBPUSD,MS_BOS,volatility_transition,HIGH_TO_HIGH_VOL,162,35.19,-0.206,0.66,-0.384,-0.028,1.3,0.0,32.08
USDJPY,TF_PB,pre_session_bias,FLAT,453,33.77,-0.211,0.81,-0.34,-0.083,0.1,0.0,66.02
GBPUSD,LDN_MO,asian_range_category,TIGHT (<25p),452,34.96,-0.218,0.74,-0.349,-0.088,0.1,0.0,65.95
GBPUSD,TF_PB,volatility_transition,STEADY_VOL,265,33.96,-0.22,0.76,-0.384,-0.05,0.6,0.0,47.42
USDJPY,LDN_MO,asian_range_category,NORMAL (25-45p),216,33.33,-0.222,0.71,-0.383,-0.049,0.7,33.3,43.37
GBPUSD,MR_RG,trend_transition,TREND_TO_RANGE,31,45.16,-0.23,0.81,-0.753,0.264,17.9,33.3,9.09
GBPUSD,MS_BOS,trend_transition,RANGE_TO_TREND,109,34.86,-0.234,0.68,-0.483,0.03,4.0,66.7,27.59
EURUSD,MS_BOS,trend_transition,TREND_TO_RANGE,110,35.45,-0.235,0.79,-0.49,0.011,3.1,33.3,31.06
