policy_name,base_risk_pct,dollar_risk_per_trade_usd,prob_complete_both_mc_pct,prob_both_180d_mc_pct,prob_both_365d_mc_pct,median_days_both_mc,prob_max_loss_breach_mc_pct,prob_daily_loss_breach_mc_pct,expected_max_drawdown_pct,prob_funded_survive_365d_pct,expected_gross_monthly_return_usd,expected_gross_monthly_payout_usd,net_monthly_income_after_vps_usd,net_annual_income_after_vps_usd,net_annual_return_pct_on_10k,months_to_breakeven_challenge_fee,recommendation_score
POLICY_A_CONSTANT,0.5,50.0,98.7,0.2,17.0,556.9,0.0,0.0,3.91,100.0,51.67,41.33,25.33,304.0,3.04,6.7,31.53
POLICY_B_DRAWDOWN_DERISKING,0.5,50.0,99.9,0.2,16.1,591.2,0.0,0.0,3.58,100.0,54.69,43.75,27.75,332.98,3.33,6.1,33.55
POLICY_B_DRAWDOWN_DERISKING,0.6,60.0,99.9,1.7,29.2,501.9,0.0,0.0,3.92,100.0,62.71,50.17,34.17,410.03,4.1,5.0,36.77
POLICY_B_DRAWDOWN_DERISKING,0.75,75.0,99.9,8.3,42.9,419.4,0.0,0.0,4.34,100.0,78.06,62.45,46.45,557.39,5.57,3.7,44.6
POLICY_E_CHALLENGE_AWARE,0.75,75.0,99.9,1.3,27.3,508.8,0.0,0.0,4.1,100.0,81.18,64.95,48.95,587.35,5.87,3.5,43.76
