symbol,paper_trade_count,research_trade_count,trade_count_diff,paper_win_rate_pct,research_win_rate_pct,win_rate_drift_pct,paper_expectancy_r,research_expectancy_r,expectancy_drift_r,avg_spread_pips,spread_assumed_pips,spread_drift_pips,avg_slippage_pips,slippage_assumed_pips,slippage_drift_pips,avg_mfe_pips,avg_mae_pips,is_execution_consistent,alert_level
EURUSD,51,51,0,52.9,52.9,0.0,0.346,0.346,-0.0,0.8,0.8,0.0,0.2,0.2,0.0,0.0,0.0,True,NORMAL
GBPUSD,40,40,0,55.0,55.0,0.0,0.362,0.362,-0.0,1.1,1.1,0.0,0.2,0.2,0.0,0.0,0.0,True,NORMAL
