trade_id,symbol,strategy_name,direction,signal_time,entry_time,entry_price,exit_time,exit_price,exit_reason,stop_loss,take_profit,holding_bars,risk_pips,pnl_gross_pips,spread_cost_pips,slippage_cost_pips,commission_pips,pnl_net_pips,pnl_r_multiple,regime,session,year,metadata
1,GBPUSD,RANGE_TO_TREND_TFPB_V1,1,2023-01-24 03:00:00+00:00,2023-01-24 03:15:00+00:00,1.23842,2023-01-24 07:30:00+00:00,1.2391557142857144,TP,1.2373442857142856,1.2392557142857143,18,9.557142857143138,9.35714285714262,1.2,0.8,0.7,6.65714285714284,0.6965620328119967,STRONG_BULL__CONTRACTION,ASIAN,2023,"{'transition_quality': 'STRONG', 'adx_delta': 15.655010117087137}"
2,GBPUSD,RANGE_TO_TREND_TFPB_V1,-1,2023-01-27 16:00:00+00:00,2023-01-27 16:15:00+00:00,1.23562,2023-01-27 16:30:00+00:00,1.2378410714285715,SL,1.2377410714285715,1.2337789285714285,2,19.81071428571417,-20.210714285715525,1.2,0.8,0.7,-22.910714285715304,-1.1564809806519756,STRONG_BEAR__LOW_VOL,NY_LATE,2023,"{'transition_quality': 'STRONG', 'adx_delta': 10.151745402098378}"
3,GBPUSD,RANGE_TO_TREND_TFPB_V1,-1,2023-01-31 23:15:00+00:00,2023-01-31 23:30:00+00:00,1.2320900000000001,2023-02-01 00:00:00+00:00,1.2314075,TP,1.2330875000000001,1.2312725,3,9.074999999999736,9.175000000001265,1.2,0.8,0.7,6.125000000001413,0.6749311294023868,STRONG_BEAR__CONTRACTION,NY_LATE,2023,"{'transition_quality': 'STRONG', 'adx_delta': 10.84804695364177}"
4,GBPUSD,RANGE_TO_TREND_TFPB_V1,1,2023-02-02 09:00:00+00:00,2023-02-02 09:15:00+00:00,1.23936,2023-02-02 09:30:00+00:00,1.2381428571428572,SL,1.2382428571428572,1.2402571428571427,2,10.071428571428415,-10.171428571428276,1.2,0.8,0.7,-12.871428571428055,-1.2780141842702366,STRONG_BULL__CONTRACTION,LONDON,2023,"{'transition_quality': 'STRONG', 'adx_delta': 16.706601242687963}"
5,GBPUSD,RANGE_TO_TREND_TFPB_V1,-1,2023-02-13 04:15:00+00:00,2023-02-13 04:30:00+00:00,1.20466,2023-02-13 08:30:00+00:00,1.2059857142857142,SL,1.2058857142857142,1.2036742857142857,17,11.057142857143209,-11.257142857141744,1.2,0.8,0.7,-13.957142857141523,-1.2622739016944655,STRONG_BEAR__LOW_VOL,ASIAN,2023,"{'transition_quality': 'STRONG', 'adx_delta': 11.94000574994813}"
6,GBPUSD,RANGE_TO_TREND_TFPB_V1,-1,2023-02-13 10:45:00+00:00,2023-02-13 11:00:00+00:00,1.20451,2023-02-13 11:15:00+00:00,1.2059785714285713,SL,1.2058785714285714,1.2033414285714286,2,12.685714285714125,-12.685714285713967,1.2,0.8,0.7,-15.385714285713746,-1.212837837742204,WEAK_BEAR__NORMAL_VOL,LONDON,2023,"{'transition_quality': 'STRONG', 'adx_delta': 15.785060479513136}"
7,GBPUSD,RANGE_TO_TREND_TFPB_V1,1,2023-02-14 22:30:00+00:00,2023-02-14 22:45:00+00:00,1.21777,2023-02-15 04:00:00+00:00,1.2160664285714284,SL,1.2161664285714284,1.2192135714285715,22,15.235714285714417,-15.03571428571604,1.2,0.8,0.7,-17.73571428571582,-1.1640881386953683,STRONG_BULL__CONTRACTION,NY_LATE,2023,"{'transition_quality': 'MODERATE', 'adx_delta': 7.852900532650844}"
8,GBPUSD,RANGE_TO_TREND_TFPB_V1,1,2023-02-20 18:15:00+00:00,2023-02-20 18:30:00+00:00,1.20346,2023-02-21 02:30:00+00:00,1.20341,TIME_EXPIRY,1.2022346428571429,1.204465357142857,33,11.153571428571462,1.500000000000945,1.2,0.8,0.7,-1.1999999999988347,-0.10758885685864483,STRONG_BULL__LOW_VOL,NY_LATE,2023,"{'transition_quality': 'STRONG', 'adx_delta': 14.419526500521922}"
9,GBPUSD,RANGE_TO_TREND_TFPB_V1,1,2023-02-22 04:15:00+00:00,2023-02-22 04:30:00+00:00,1.2119,2023-02-22 06:45:00+00:00,1.2105664285714286,SL,1.2106664285714286,1.2129335714285714,10,11.335714285714083,-11.335714285714005,1.2,0.8,0.7,-14.035714285713784,-1.238185255089237,STRONG_BULL__CONTRACTION,ASIAN,2023,"{'transition_quality': 'MODERATE', 'adx_delta': 8.455854578292342}"
10,GBPUSD,RANGE_TO_TREND_TFPB_V1,1,2023-03-20 04:30:00+00:00,2023-03-20 04:45:00+00:00,1.21878,2023-03-20 05:15:00+00:00,1.2172321428571429,SL,1.2173321428571429,1.220027857142857,3,13.478571428570751,-13.478571428571229,1.2,0.8,0.7,-16.178571428571008,-1.2003179649348228,WEAK_BULL__LOW_VOL,ASIAN,2023,"{'transition_quality': 'STRONG', 'adx_delta': 17.642656377818284}"
11,GBPUSD,RANGE_TO_TREND_TFPB_V1,-1,2023-04-17 03:30:00+00:00,2023-04-17 03:45:00+00:00,1.24051,2023-04-17 03:45:00+00:00,1.2398792857142855,TP,1.2414207142857143,1.2397792857142855,1,8.207142857143333,8.307142857144623,1.2,0.8,0.7,5.607142857144843,0.6832027849474187,WEAK_BEAR__CONTRACTION,ASIAN,2023,"{'transition_quality': 'STRONG', 'adx_delta': 11.641741052141695}"
12,GBPUSD,RANGE_TO_TREND_TFPB_V1,1,2023-04-18 22:30:00+00:00,2023-04-18 22:45:00+00:00,1.24325,2023-04-19 00:00:00+00:00,1.242247857142857,SL,1.242447857142857,1.2438321428571428,6,6.921428571428713,-7.021428571429844,1.2,0.8,0.7,-10.721428571429513,-1.5490196076194411,STRONG_BULL__CONTRACTION,NY_LATE,2023,"{'transition_quality': 'STRONG', 'adx_delta': 10.001318317354002}"
13,GBPUSD,RANGE_TO_TREND_TFPB_V1,1,2023-04-20 01:30:00+00:00,2023-04-20 01:45:00+00:00,1.244,2023-04-20 01:45:00+00:00,1.2433146428571429,SL,1.2434146428571429,1.2443853571428571,1,4.853571428571346,-4.853571428571346,1.2,0.8,0.7,-7.553571428571126,-1.5562913904077922,WEAK_BULL__CONTRACTION,ASIAN,2023,"{'transition_quality': 'STRONG', 'adx_delta': 24.16241309347589}"
14,GBPUSD,RANGE_TO_TREND_TFPB_V1,1,2023-04-20 10:00:00+00:00,2023-04-20 10:15:00+00:00,1.24404,2023-04-20 10:15:00+00:00,1.2428489285714286,SL,1.2429489285714286,1.2449310714285715,1,9.910714285714503,-9.910714285714661,1.2,0.8,0.7,-12.61071428571444,-1.2724324323040306,STRONG_BULL__LOW_VOL,LONDON,2023,"{'transition_quality': 'STRONG', 'adx_delta': 16.576537779235924}"
15,GBPUSD,RANGE_TO_TREND_TFPB_V1,1,2023-04-20 11:00:00+00:00,2023-04-20 11:15:00+00:00,1.2439500000000001,2023-04-20 12:00:00+00:00,1.2422632142857142,SL,1.2423632142857142,1.2452967857142858,4,14.667857142857121,-14.867857142859542,1.2,0.8,0.7,-17.56785714285932,-1.1977112246567465,WEAK_BULL__NORMAL_VOL,LONDON,2023,"{'transition_quality': 'STRONG', 'adx_delta': 19.995184264864967}"
16,GBPUSD,RANGE_TO_TREND_TFPB_V1,1,2023-05-10 16:45:00+00:00,2023-05-10 17:00:00+00:00,1.26387,2023-05-10 17:45:00+00:00,1.2613457142857143,SL,1.2614457142857143,1.2660742857142857,4,23.142857142857448,-23.242857142857787,1.2,0.8,0.7,-25.942857142857566,-1.1209876542725534,STRONG_BULL__HIGH_VOL,NY_LATE,2023,"{'transition_quality': 'STRONG', 'adx_delta': 21.189373038072585}"
