timestamp,symbol,direction,is_approved,risk_requested_pct,risk_allowed_pct,rejection_reason,current_balance,current_equity,daily_loss_budget_usd,max_dd_budget_usd,distance_to_target_usd,correlated_usd_exposure_pct
2023-01-20 09:15:00+00:00,EURUSD,1,True,0.35,0.35,APPROVED,100000.0,100000.0,5000.0,9500.0,8000.0,0.35
2023-01-27 16:00:00+00:00,GBPUSD,-1,True,0.35,0.35,APPROVED,100620.33,100620.33,5031.02,10120.33,7379.67,0.35
2023-01-31 15:00:00+00:00,USDJPY,1,True,0.35,0.35,APPROVED,100216.22,100216.22,5010.81,9716.22,7783.78,0.35
2023-02-07 11:30:00+00:00,EURUSD,-1,True,0.35,0.35,APPROVED,99812.12,99812.12,4990.61,9312.12,8187.88,0.35
2023-02-09 08:00:00+00:00,GBPUSD,1,True,0.35,0.35,APPROVED,100472.32,100472.32,5023.62,9972.32,7527.68,0.35
2023-02-23 15:30:00+00:00,USDJPY,1,True,0.35,0.35,APPROVED,101044.72,101044.72,5052.24,10544.72,6955.28,0.35
2023-02-27 07:15:00+00:00,EURUSD,-1,True,0.35,0.35,APPROVED,101706.98,101706.98,5085.35,11206.98,6293.02,0.35
2023-02-27 08:45:00+00:00,USDJPY,1,True,0.35,0.35,APPROVED,102305.54,102305.54,5683.9,11805.54,5694.46,0.35
2023-03-13 07:15:00+00:00,USDJPY,-1,True,0.35,0.35,APPROVED,101893.46,101893.46,5094.67,11393.46,6106.54,0.35
2023-03-16 15:30:00+00:00,EURUSD,-1,True,0.35,0.35,APPROVED,101515.3,101515.3,5075.77,11015.3,6484.7,0.35
2023-03-16 15:30:00+00:00,USDJPY,-1,True,0.35,0.35,APPROVED,101135.84,101135.84,4696.31,10635.84,6864.16,0.35
2023-03-23 14:15:00+00:00,GBPUSD,1,True,0.35,0.35,APPROVED,100765.45,100765.45,5038.27,10265.45,7234.55,0.35
2023-04-04 16:00:00+00:00,USDJPY,1,True,0.35,0.35,APPROVED,100371.41,100371.41,5018.57,9871.41,7628.59,0.35
2023-04-13 12:15:00+00:00,USDJPY,-1,True,0.35,0.35,APPROVED,99980.1,99980.1,4999.01,9480.1,8019.9,0.35
2023-05-01 10:45:00+00:00,EURUSD,-1,True,0.35,0.35,APPROVED,99577.84,99577.84,4978.89,9077.84,8422.16,0.35
2023-05-23 12:00:00+00:00,EURUSD,-1,True,0.35,0.35,APPROVED,99155.65,99155.65,4957.78,8655.65,8844.35,0.35
2023-06-05 12:00:00+00:00,USDJPY,1,True,0.35,0.35,APPROVED,99802.44,99802.44,4990.12,9302.44,8197.56,0.35
2023-06-14 10:30:00+00:00,GBPUSD,1,True,0.35,0.35,APPROVED,99402.26,99402.26,4970.11,8902.26,8597.74,0.35
2023-06-22 10:30:00+00:00,EURUSD,1,True,0.35,0.35,APPROVED,100016.19,100016.19,5000.81,9516.19,7983.81,0.35
2023-06-26 13:00:00+00:00,EURUSD,-1,True,0.35,0.35,APPROVED,100631.56,100631.56,5031.58,10131.56,7368.44,0.35
2023-06-27 10:15:00+00:00,USDJPY,1,True,0.35,0.35,APPROVED,100215.43,100215.43,5010.77,9715.43,7784.57,0.35
2023-07-04 10:45:00+00:00,GBPUSD,1,True,0.35,0.35,APPROVED,100852.44,100852.44,5042.62,10352.44,7147.56,0.35
2023-07-04 15:00:00+00:00,EURUSD,-1,True,0.35,0.35,APPROVED,101475.68,101475.68,5665.86,10975.68,6524.32,0.35
2023-07-07 15:30:00+00:00,GBPUSD,1,True,0.35,0.35,APPROVED,101041.29,101041.29,5052.06,10541.29,6958.71,0.35
2023-07-13 09:45:00+00:00,USDJPY,-1,True,0.35,0.35,APPROVED,100598.27,100598.27,5029.91,10098.27,7401.73,0.35
2023-08-15 12:00:00+00:00,USDJPY,1,True,0.35,0.35,APPROVED,100202.78,100202.78,5010.14,9702.78,7797.22,0.35
2023-08-30 15:15:00+00:00,EURUSD,1,True,0.35,0.35,APPROVED,99800.79,99800.79,4990.04,9300.79,8199.21,0.35
2023-09-04 10:00:00+00:00,USDJPY,1,True,0.35,0.35,APPROVED,100444.96,100444.96,5022.25,9944.96,7555.04,0.35
2023-09-25 09:30:00+00:00,GBPUSD,-1,True,0.35,0.35,APPROVED,101043.16,101043.16,5052.16,10543.16,6956.84,0.35
2023-09-27 16:00:00+00:00,USDJPY,1,True,0.35,0.35,APPROVED,100515.78,100515.78,5025.79,10015.78,7484.22,0.35
2023-10-06 10:30:00+00:00,EURUSD,1,True,0.35,0.35,APPROVED,101151.95,101151.95,5057.6,10651.95,6848.05,0.35
2023-10-11 11:45:00+00:00,EURUSD,1,True,0.35,0.35,APPROVED,101751.85,101751.85,5087.59,11251.85,6248.15,0.35
2023-11-14 11:15:00+00:00,GBPUSD,1,True,0.35,0.35,APPROVED,101351.37,101351.37,5067.57,10851.37,6648.63,0.35
2023-11-27 10:15:00+00:00,GBPUSD,1,True,0.35,0.35,APPROVED,101963.73,101963.73,5098.19,11463.73,6036.27,0.35
2023-12-08 08:45:00+00:00,EURUSD,-1,True,0.35,0.35,APPROVED,101512.69,101512.69,5075.63,11012.69,6487.31,0.35
2023-12-12 15:15:00+00:00,USDJPY,-1,True,0.35,0.35,APPROVED,101042.6,101042.6,5052.13,10542.6,6957.4,0.35
2023-12-18 15:00:00+00:00,GBPUSD,-1,True,0.35,0.35,APPROVED,100643.52,100643.52,5032.18,10143.52,7356.48,0.35
2023-12-27 09:15:00+00:00,GBPUSD,1,True,0.35,0.35,APPROVED,101284.67,101284.67,5064.23,10784.67,6715.33,0.35
2024-01-30 11:15:00+00:00,USDJPY,-1,True,0.35,0.35,APPROVED,100757.05,100757.05,5037.85,10257.05,7242.95,0.35
2024-02-02 11:00:00+00:00,EURUSD,1,True,0.35,0.35,APPROVED,100359.78,100359.78,5017.99,9859.78,7640.22,0.35
2024-02-05 11:45:00+00:00,GBPUSD,-1,True,0.35,0.35,APPROVED,99940.44,99940.44,4997.02,9440.44,8059.56,0.35
2024-02-14 10:00:00+00:00,EURUSD,-1,True,0.35,0.35,APPROVED,100566.88,100566.88,5028.34,10066.88,7433.12,0.35
2024-03-04 09:45:00+00:00,EURUSD,1,True,0.35,0.35,APPROVED,101168.01,101168.01,5058.4,10668.01,6831.99,0.35
2024-03-07 15:15:00+00:00,GBPUSD,1,True,0.35,0.35,APPROVED,100666.87,100666.87,5033.34,10166.87,7333.13,0.35
2024-03-13 11:30:00+00:00,GBPUSD,-1,True,0.35,0.35,APPROVED,101275.15,101275.15,5063.76,10775.15,6724.85,0.35
2024-04-02 13:00:00+00:00,USDJPY,1,True,0.35,0.35,APPROVED,100823.17,100823.17,5041.16,10323.17,7176.83,0.35
2024-04-04 10:15:00+00:00,GBPUSD,1,True,0.35,0.35,APPROVED,100377.75,100377.75,5018.89,9877.75,7622.25,0.35
2024-04-04 14:30:00+00:00,USDJPY,1,True,0.35,0.35,APPROVED,99891.88,99891.88,4533.02,9391.88,8108.12,0.35
2024-04-10 09:15:00+00:00,GBPUSD,1,True,0.35,0.35,APPROVED,99414.97,99414.97,4970.75,8914.97,8585.03,0.35
2024-04-18 08:30:00+00:00,EURUSD,1,True,0.35,0.35,APPROVED,99883.13,99883.13,4994.16,9383.13,8116.87,0.35
2024-04-30 15:15:00+00:00,USDJPY,1,True,0.35,0.35,APPROVED,100452.88,100452.88,5022.64,9952.88,7547.12,0.35
2024-05-14 15:45:00+00:00,EURUSD,1,True,0.35,0.35,APPROVED,101096.22,101096.22,5054.81,10596.22,6903.78,0.35
2024-06-07 07:15:00+00:00,EURUSD,1,True,0.35,0.35,APPROVED,101746.02,101746.02,5087.3,11246.02,6253.98,0.35
2024-06-17 10:45:00+00:00,GBPUSD,-1,True,0.35,0.35,APPROVED,101206.86,101206.86,5060.34,10706.86,6793.14,0.35
2024-06-21 09:30:00+00:00,USDJPY,1,True,0.35,0.35,APPROVED,100748.11,100748.11,5037.41,10248.11,7251.89,0.35
2024-07-08 14:15:00+00:00,GBPUSD,1,True,0.35,0.35,APPROVED,100284.27,100284.27,5014.21,9784.27,7715.73,0.35
2024-07-29 07:15:00+00:00,USDJPY,-1,True,0.35,0.35,APPROVED,100881.79,100881.79,5044.09,10381.79,7118.21,0.35
2024-08-23 15:00:00+00:00,USDJPY,1,True,0.35,0.35,APPROVED,100505.13,100505.13,5025.26,10005.13,7494.87,0.35
2024-09-05 10:15:00+00:00,EURUSD,1,True,0.35,0.35,APPROVED,101159.79,101159.79,5057.99,10659.79,6840.21,0.35
2024-09-05 10:45:00+00:00,EURUSD,1,True,0.35,0.35,APPROVED,100656.59,100656.59,4554.79,10156.59,7343.41,0.35
2024-09-05 13:30:00+00:00,GBPUSD,1,True,0.35,0.35,APPROVED,101232.36,101232.36,5130.56,10732.36,6767.64,0.35
2024-09-06 15:45:00+00:00,EURUSD,1,True,0.35,0.35,APPROVED,101869.87,101869.87,5093.49,11369.87,6130.13,0.35
2024-10-01 10:00:00+00:00,GBPUSD,-1,True,0.35,0.35,APPROVED,101467.51,101467.51,5073.38,10967.51,6532.49,0.35
