Pair,ADX_Lower,ADX_Upper,Lookback_Lag,Is_Frozen_Point,Trades,WinRate%,Net_E[R],ProfitFactor,NetPips,MaxDD%
USDJPY,18.0,22.0,8,False,32,31.25,-0.203,0.54,-180.11,8.73
USDJPY,18.0,22.0,10,True,38,26.32,-0.348,0.39,-340.44,13.31
USDJPY,18.0,22.0,12,False,53,32.08,-0.229,0.61,-260.37,14.16
USDJPY,18.0,24.0,8,False,25,32.0,-0.171,0.56,-133.65,6.29
USDJPY,18.0,24.0,10,False,31,25.81,-0.357,0.39,-271.22,11.33
USDJPY,18.0,24.0,12,False,45,33.33,-0.197,0.65,-186.2,9.53
USDJPY,20.0,21.0,8,False,48,22.92,-0.466,0.33,-454.81,19.46
USDJPY,20.0,21.0,10,False,64,32.81,-0.17,0.67,-259.36,13.12
USDJPY,20.0,21.0,12,False,71,36.62,-0.086,0.81,-156.18,10.38
USDJPY,20.0,22.0,8,False,46,23.91,-0.435,0.35,-419.11,18.07
USDJPY,20.0,22.0,10,False,60,31.67,-0.204,0.61,-293.41,14.84
USDJPY,20.0,22.0,12,False,67,37.31,-0.066,0.82,-143.47,9.33
USDJPY,20.0,24.0,8,False,38,23.68,-0.439,0.36,-331.4,15.24
USDJPY,20.0,24.0,10,False,50,30.0,-0.251,0.55,-281.02,11.79
USDJPY,20.0,24.0,12,False,57,38.6,-0.032,0.87,-82.09,7.58
