Pair,Trades_2026,WinRate%,Exp(R),ProfitFactor,NetPips,MaxDD%,AvgR,MedianR,Bootstrap_95_CI,P(Exp>0)%,MaxLosingStreak,TradeFreq_per_month
EURUSD,25,52.0,-0.199,0.75,-27.31,6.4,-0.19889945552104715,0.4593495933655475,"[-0.59, 0.19]",16.4,4,3.1
GBPUSD,34,55.88,-0.207,0.71,-62.11,8.12,-0.2065946140148367,0.523208722647265,"[-0.56, 0.13]",11.5,5,4.2
USDJPY,34,44.12,-0.371,0.58,-105.98,10.42,-0.37081071444183467,-1.1433854973418707,"[-0.71, -0.03]",1.5,4,4.2
