Pair,EntryTime,Direction,MFE_Pips,MFE_R,MAE_Pips,MAE_R,BarsToMFE,BarsToMAE,BarsTo_0_50R,BarsTo_0_75R,BarsTo_1_00R,FinalPnL_R,FinalPnL_NetPips,Year
EURUSD,2023-06-22 10:45:00+00:00,1,4.8,0.552,11.6,1.335,2,3,2.0,,,-1.219,-10.59,2023
EURUSD,2023-06-26 13:00:00+00:00,-1,1.9,0.182,11.4,1.089,0,1,,,,-1.182,-12.37,2023
EURUSD,2023-06-28 03:15:00+00:00,1,0.2,0.048,6.5,1.548,0,1,,,,-1.452,-6.1,2023
EURUSD,2023-07-04 15:00:00+00:00,-1,3.9,0.458,9.3,1.092,0,9,,,,-1.223,-10.42,2023
EURUSD,2023-07-19 16:30:00+00:00,-1,23.3,2.073,11.4,1.014,2,0,2.0,2.0,2.0,0.831,9.34,2023
EURUSD,2023-08-03 16:45:00+00:00,-1,3.5,0.172,23.9,1.172,0,2,,,,-1.093,-22.3,2023
EURUSD,2023-08-08 01:00:00+00:00,1,1.7,0.389,5.4,1.235,8,8,,,,-1.435,-6.27,2023
EURUSD,2023-08-11 18:00:00+00:00,-1,25.8,1.182,3.9,0.179,7,0,1.0,2.0,7.0,0.913,19.94,2023
EURUSD,2023-08-30 15:15:00+00:00,1,15.7,1.288,0.6,0.049,0,0,0.0,0.0,0.0,0.844,10.29,2023
EURUSD,2023-09-07 23:00:00+00:00,-1,1.9,0.27,8.1,1.151,4,16,,,,-1.284,-9.04,2023
EURUSD,2023-09-18 17:00:00+00:00,-1,2.3,0.244,13.3,1.411,0,2,,,,-1.191,-11.23,2023
EURUSD,2023-09-20 16:00:00+00:00,1,11.3,1.483,1.4,0.184,0,0,0.0,0.0,0.0,0.764,5.82,2023
EURUSD,2023-09-29 04:15:00+00:00,1,6.0,1.223,1.3,0.265,2,0,2.0,2.0,2.0,0.552,2.71,2023
EURUSD,2023-10-06 10:30:00+00:00,1,6.1,0.932,0.8,0.122,0,0,0.0,0.0,,0.694,4.55,2023
EURUSD,2023-10-06 11:45:00+00:00,1,12.2,1.385,4.3,0.488,5,0,3.0,3.0,5.0,0.773,6.81,2023
EURUSD,2023-10-11 11:45:00+00:00,1,2.6,0.17,31.3,2.051,2,15,,,,-1.125,-17.16,2023
EURUSD,2023-10-13 16:15:00+00:00,-1,15.5,1.168,2.5,0.188,3,2,0.0,1.0,3.0,0.857,11.38,2023
EURUSD,2023-10-13 21:00:00+00:00,-1,2.2,0.194,15.1,1.331,13,14,,,,-1.238,-14.05,2023
EURUSD,2023-10-19 01:45:00+00:00,-1,4.7,1.167,2.5,0.621,6,5,6.0,6.0,6.0,0.528,2.13,2023
EURUSD,2023-10-23 02:30:00+00:00,1,0.8,0.192,6.3,1.515,0,2,,,,-1.433,-5.96,2023
EURUSD,2023-10-26 18:15:00+00:00,-1,13.9,0.748,25.7,1.383,3,13,0.0,,,-1.102,-20.49,2023
EURUSD,2023-12-06 04:00:00+00:00,-1,3.3,0.515,7.2,1.124,1,5,1.0,,,-1.297,-8.31,2023
EURUSD,2023-12-06 17:30:00+00:00,-1,16.3,1.185,12.8,0.93,11,2,11.0,11.0,11.0,0.869,11.96,2023
EURUSD,2023-12-07 08:15:00+00:00,-1,0.0,0.0,6.2,1.258,0,1,,,,-1.426,-7.03,2023
EURUSD,2023-12-29 05:15:00+00:00,-1,6.4,0.997,1.7,0.265,7,0,0.0,2.0,,0.704,4.52,2023
EURUSD,2024-01-04 03:30:00+00:00,-1,2.9,0.417,8.5,1.222,3,7,,,,-1.259,-8.75,2024
EURUSD,2024-01-10 10:00:00+00:00,-1,2.9,0.336,16.4,1.899,0,1,,,,-1.22,-10.54,2024
EURUSD,2024-01-29 20:15:00+00:00,-1,0.6,0.07,10.3,1.2,0,5,,,,-1.221,-10.48,2024
EURUSD,2024-01-31 18:00:00+00:00,1,6.2,0.345,20.1,1.117,0,5,,,,-1.106,-19.89,2024
EURUSD,2024-02-02 11:00:00+00:00,1,15.4,1.571,0.7,0.071,1,0,0.0,0.0,1.0,0.806,7.9,2024
EURUSD,2024-02-07 16:45:00+00:00,1,1.0,0.095,11.3,1.072,0,1,,,,-1.18,-12.44,2024
