Pair,Strategy,Factor,Bucket,Trades,WinRate%,Exp(R),PF,Stable_Years%,Valid_Sample,Yearly_Exp_R
EURUSD,MS_BOS,direction_label,SHORT,1020,34.12,-0.262,0.69,0.0,True,"{np.int64(2023): -0.257, np.int64(2024): -0.359, np.int64(2025): -0.314, np.int64(2026): -0.062}"
GBPUSD,TF_PB,atr_bucket,80-100% (Highest),36,50.0,0.238,1.54,100.0,True,"{np.int64(2023): 0.207, np.int64(2024): 0.108, np.int64(2025): 0.228, np.int64(2026): 0.643}"
GBPUSD,TF_PB,atr_bucket,20-40% (Low),200,37.5,-0.135,0.84,25.0,True,"{np.int64(2023): 0.072, np.int64(2024): -0.089, np.int64(2025): -0.286, np.int64(2026): -0.213}"
GBPUSD,TF_PB,atr_bucket,40-60% (Mid),154,35.71,-0.143,0.82,0.0,True,"{np.int64(2023): -0.402, np.int64(2024): -0.035, np.int64(2025): -0.067, np.int64(2026): -0.028}"
GBPUSD,TF_PB,atr_bucket,60-80% (High),59,30.51,-0.307,0.7,25.0,True,"{np.int64(2023): 0.423, np.int64(2024): -0.353, np.int64(2025): -0.794, np.int64(2026): -0.543}"
GBPUSD,TF_PB,atr_bucket,0-20% (Lowest),250,30.4,-0.497,0.51,0.0,True,"{np.int64(2023): -0.543, np.int64(2024): -0.359, np.int64(2025): -0.674, np.int64(2026): -0.406}"
GBPUSD,TF_PB,adx_bucket,High (>28),497,34.61,-0.26,0.76,0.0,True,"{np.int64(2023): -0.131, np.int64(2024): -0.27, np.int64(2025): -0.35, np.int64(2026): -0.284}"
GBPUSD,TF_PB,adx_bucket,Medium (18-28),202,34.65,-0.265,0.79,25.0,True,"{np.int64(2023): -0.483, np.int64(2024): 0.049, np.int64(2025): -0.424, np.int64(2026): -0.173}"
GBPUSD,TF_PB,trend_regime,STRONG_BEAR,185,36.76,-0.208,0.87,0.0,True,"{np.int64(2023): -0.15, np.int64(2024): -0.035, np.int64(2025): -0.491, np.int64(2026): -0.087}"
GBPUSD,TF_PB,trend_regime,STRONG_BULL,209,34.93,-0.25,0.66,0.0,True,"{np.int64(2023): -0.163, np.int64(2024): -0.155, np.int64(2025): -0.364, np.int64(2026): -0.367}"
GBPUSD,TF_PB,trend_regime,WEAK_BULL,162,33.95,-0.273,0.78,0.0,True,"{np.int64(2023): -0.259, np.int64(2024): -0.041, np.int64(2025): -0.253, np.int64(2026): -0.662}"
GBPUSD,TF_PB,trend_regime,WEAK_BEAR,143,32.17,-0.336,0.8,25.0,True,"{np.int64(2023): -0.431, np.int64(2024): -0.544, np.int64(2025): -0.367, np.int64(2026): 0.076}"
GBPUSD,TF_PB,vol_regime,EXPANSION,2,100.0,1.836,99.0,0.0,False,"{np.int64(2023): None, np.int64(2024): None, np.int64(2025): None, np.int64(2026): None}"
GBPUSD,TF_PB,vol_regime,HIGH_VOL,45,48.89,0.24,1.51,100.0,True,"{np.int64(2023): 0.452, np.int64(2024): 0.135, np.int64(2025): 0.02, np.int64(2026): 0.57}"
GBPUSD,TF_PB,vol_regime,NORMAL_VOL,248,35.08,-0.183,0.78,0.0,True,"{np.int64(2023): -0.08, np.int64(2024): -0.078, np.int64(2025): -0.38, np.int64(2026): -0.158}"
GBPUSD,TF_PB,vol_regime,LOW_VOL,306,32.68,-0.337,0.66,0.0,True,"{np.int64(2023): -0.393, np.int64(2024): -0.271, np.int64(2025): -0.325, np.int64(2026): -0.379}"
