Pair,ADX_Lower,ADX_Upper,Lookback_Lag,Is_Frozen_Candidate,Trades,WinRate%,Gross_E[R],Net_E[R],ProfitFactor,NetPips,MaxDD%
USDJPY,16.0,24.0,8,False,17,41.18,0.148,-0.048,0.92,-12.86,5.53
USDJPY,16.0,24.0,10,False,34,32.35,-0.071,-0.252,0.69,-129.91,11.88
USDJPY,16.0,24.0,12,False,48,37.5,-0.002,-0.191,0.82,-86.44,13.23
USDJPY,18.0,21.0,8,False,35,37.14,-0.01,-0.19,0.74,-95.04,10.89
USDJPY,18.0,21.0,10,False,63,33.33,-0.136,-0.314,0.63,-277.56,20.9
USDJPY,18.0,21.0,12,False,73,38.36,0.034,-0.149,0.76,-192.2,13.17
USDJPY,18.0,22.0,8,False,33,39.39,0.05,-0.125,0.79,-71.94,9.66
USDJPY,18.0,22.0,10,True,61,34.43,-0.107,-0.284,0.65,-254.46,18.87
USDJPY,18.0,22.0,12,False,71,39.44,0.063,-0.117,0.78,-169.1,12.05
USDJPY,18.0,24.0,8,False,25,40.0,0.075,-0.103,0.88,-29.92,7.1
USDJPY,18.0,24.0,10,False,51,33.33,-0.124,-0.305,0.68,-187.09,17.4
USDJPY,18.0,24.0,12,False,61,39.34,0.078,-0.107,0.83,-105.94,12.46
USDJPY,20.0,21.0,8,False,51,33.33,-0.106,-0.285,0.66,-201.87,16.14
USDJPY,20.0,21.0,10,False,77,37.66,0.019,-0.165,0.77,-196.07,14.64
USDJPY,20.0,21.0,12,False,77,37.66,0.019,-0.165,0.77,-195.53,14.64
USDJPY,20.0,22.0,8,False,49,34.69,-0.07,-0.245,0.69,-178.76,13.99
USDJPY,20.0,22.0,10,False,75,38.67,0.046,-0.136,0.79,-172.96,12.83
USDJPY,20.0,22.0,12,False,75,38.67,0.046,-0.136,0.79,-172.42,12.83
USDJPY,20.0,24.0,8,False,39,33.33,-0.082,-0.264,0.75,-111.4,12.42
USDJPY,20.0,24.0,10,False,64,39.06,0.073,-0.113,0.86,-92.7,12.46
USDJPY,20.0,24.0,12,False,64,39.06,0.073,-0.113,0.86,-92.16,12.46
